source_name,source_type,source_RA,source_DEC,22present,27present
4FGL_J0522.9-3628,AGN,80.7370,-36.4686,1,1
4FGL_J0622.9+3326,BCU,95.7296,33.4335,1,1
4FGL_J1418.4+3543,BCU,214.6229,35.7192,1,1
4FGL_J1045.1-5940,BIN,161.2774,-59.6822,1,1
4FGL_J0112.1+2245,BLL,18.0294,22.7515,1,1
4FGL_J0958.7+6534,BLL,149.6897,65.5678,1,1
4FGL_J1058.4+0133,BLL,164.6240,1.5641,1,1
4FGL_J0721.9+7120,BLL,110.4882,71.3405,1,1
4FGL_J1555.7+1111,BLL,238.9313,11.1884,1,1
4FGL_J2009.4-4849,BLL,302.3595,-48.8248,1,1
4FGL_J0854.8+2006,BLL,133.7071,20.1159,1,1
4FGL_J0050.7-0929,BLL,12.6753,-9.4936,1,1
4FGL_J1104.4+3812,BLL,166.1187,38.2070,1,1
4FGL_J2236.5-1433,BLL,339.1444,-14.5557,1,1
4FGL_J0809.8+5218,BLL,122.4617,52.3143,1,1
4FGL_J2202.7+4216,BLL,330.6946,42.2821,1,1
4FGL_J0211.2+1051,BLL,32.8091,10.8569,1,1
4FGL_J0538.8-4405,BLL,84.7089,-44.0862,1,1
4FGL_J1653.8+3945,BLL,253.4738,39.7595,1,1
4FGL_J0303.4-2407,BLL,45.8625,-24.1225,1,1
4FGL_J1217.9+3007,BLL,184.4762,30.1177,1,1
4FGL_J0222.6+4302,BLL,35.6696,43.0357,1,1
4FGL_J0238.6+1637,BLL,39.6680,16.6179,1,1
4FGL_J1427.0+2348,BLL,216.7558,23.8013,1,1
4FGL_J0532.0-4827,BLL,83.0022,-48.4607,1,1
4FGL_J1058.6+5627,BLL,164.6652,56.4634,1,1
4FGL_J0830.8+2410,FSRQ,127.7015,24.1727,1,1
4FGL_J1642.9+3948,FSRQ,250.7341,39.8164,1,1
4FGL_J1849.2+6705,FSRQ,282.3192,67.0909,1,1
4FGL_J0725.2+1425,FSRQ,111.3240,14.4212,1,1
4FGL_J1848.4+3217,FSRQ,282.1050,32.2950,1,1
4FGL_J1153.4+4931,FSRQ,178.3505,49.5169,1,1
4FGL_J2329.3-4955,FSRQ,352.3294,-49.9324,1,1
4FGL_J1048.4+7143,FSRQ,162.1067,71.7297,1,1
4FGL_J1256.1-0547,FSRQ,194.0415,-5.7887,1,1
4FGL_J1512.8-0906,FSRQ,228.2147,-9.1064,1,1
4FGL_J0539.6+1432,FSRQ,84.9052,14.5443,1,1
4FGL_J0423.3-0120,FSRQ,65.8260,-1.3342,1,1
4FGL_J0841.3+7053,FSRQ,130.3418,70.8887,1,1
4FGL_J1033.9+6050,FSRQ,158.4849,60.8493,1,1
4FGL_J1640.4+3945,FSRQ,250.1190,39.7626,1,1
4FGL_J2126.3-4605,FSRQ,321.5948,-46.0978,1,1
4FGL_J2015.5+3710,FSRQ,303.8924,37.1760,1,1
4FGL_J0641.7-0320,FSRQ,100.4371,-3.3466,1,1
4FGL_J1626.0-2950,FSRQ,246.5150,-29.8486,1,1
4FGL_J0457.0-2324,FSRQ,74.2608,-23.4149,1,1
4FGL_J0532.6+0732,FSRQ,83.1720,7.5493,1,1
4FGL_J2229.7-0832,FSRQ,337.4258,-8.5447,1,1
4FGL_J1457.4-3539,FSRQ,224.3657,-35.6527,1,1
4FGL_J1635.2+3808,FSRQ,248.8168,38.1401,1,1
4FGL_J0403.9-3605,FSRQ,60.9750,-36.0870,1,1
4FGL_J2147.1+0931,FSRQ,326.7829,9.5181,1,1
4FGL_J0221.1+3556,FSRQ,35.2810,35.9359,1,1
4FGL_J0530.9+1332,FSRQ,82.7364,13.5402,1,1
4FGL_J1229.0+0202,FSRQ,187.2675,2.0454,1,1
4FGL_J2253.9+1609,FSRQ,343.4963,16.1506,1,1
4FGL_J0654.4+4514,FSRQ,103.6060,45.2446,1,1
4FGL_J2311.0+3425,FSRQ,347.7682,34.4223,1,1
4FGL_J0210.7-5101,FSRQ,32.6946,-51.0218,1,1
4FGL_J1504.4+1029,FSRQ,226.1033,10.4978,1,1
4FGL_J2345.2-1555,FSRQ,356.3030,-15.9182,1,1
4FGL_J1833.6-2103,FSRQ,278.4101,-21.0574,1,1
4FGL_J0017.5-0514,FSRQ,4.3949,-5.2347,1,1
4FGL_J2147.3-7536,FSRQ,326.8268,-75.6024,1,1
4FGL_J1224.9+2122,FSRQ,186.2277,21.3814,1,1
4FGL_J1427.9-4206,FSRQ,216.9866,-42.1060,1,1
4FGL_J2232.6+1143,FSRQ,338.1525,11.7306,1,1
4FGL_J0237.8+2848,FSRQ,39.4737,28.8044,1,1
4FGL_J1733.0-1305,FSRQ,263.2632,-13.0858,1,1
4FGL_J0519.9-6845e,GAL,80.0000,-68.7500,1,1
4FGL_J0058.0-7245e,GAL,14.5000,-72.7500,1,1
4FGL_J1018.9-5856,HMB,154.7417,-58.9433,1,1
4FGL_J1826.2-1450,HMB,276.5637,-14.8496,1,1
4FGL_J2032.6+4053,HMB,308.1526,40.8939,1,1
4FGL_J0535.2-6736,HMB,83.8065,-67.6013,1,1
4FGL_J0240.5+6113,HMB,40.1426,61.2287,1,1
4FGL_J1302.9-6349,HMB,195.7274,-63.8304,0,1
4FGL_J1023.7+0038,LMB,155.9446,0.6499,1,1
